gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
YOR353C		0.1875	0.1178	0.06596	0.03233	0.02084	0.02937	0.04933	0.07878	0.1176	0.1597	0.2058	0.2466	0.2619	0.2386	0.1933	0.1511	0.1251	0.111	0.1073	0.1182	0.1379	0.1501	0.1496	0.1431	0.1314
YOR354C		0.09055	0.05893	0.03747	0.02486	0.01911	0.01919	0.02527	0.03347	0.04892	0.08531	0.1632	0.269	0.3649	0.4361	0.4837	0.4938	0.4697	0.4245	0.3595	0.2496	0.1191	0.04316	0.04476	0.1045	0.234
YOR355W	GDS1	-0.08009	-0.07259	-0.08996	-0.1264	-0.203	-0.299	-0.3458	-0.2956	-0.1838	-0.06663	0.03883	0.1378	0.2079	0.2416	0.2472	0.2263	0.1837	0.1228	0.04288	-0.08864	-0.2434	-0.3313	-0.3233	-0.2412	-0.06997
YOR356W		0.1794	0.2312	0.275	0.308	0.3275	0.3308	0.3145	0.2604	0.1913	0.1646	0.225	0.338	0.4431	0.5046	0.528	0.5144	0.4707	0.4154	0.3671	0.3206	0.2807	0.2807	0.3303	0.4216	0.5612
YOR357C	GRD19	0.02449	0.05932	0.08629	0.1024	0.09603	0.0692	0.0389	0.01091	-0.007609	0.002462	0.05529	0.131	0.1977	0.2615	0.3328	0.3863	0.384	0.333	0.2755	0.2314	0.2033	0.2078	0.2469	0.3023	0.3594
YOR358W	HAP5	-0.131	-0.1158	-0.09809	-0.08228	-0.0716	-0.06964	-0.08149	-0.1106	-0.1408	-0.1478	-0.1202	-0.07397	-0.02645	0.02258	0.07062	0.09639	0.08687	0.05402	0.01398	-0.03114	-0.07376	-0.08956	-0.07267	-0.03249	0.03241
YOR359W		-0.3463	-0.5742	-0.7043	-0.7548	-0.7181	-0.6247	-0.5507	-0.5082	-0.4614	-0.415	-0.3698	-0.3392	-0.3469	-0.4141	-0.5105	-0.5826	-0.5895	-0.5571	-0.5314	-0.5479	-0.5871	-0.6122	-0.6112	-0.5892	-0.5352
YOR360C	PDE2	-0.2503	-0.4965	-0.6518	-0.7322	-0.7275	-0.6678	-0.6294	-0.6369	-0.6526	-0.6592	-0.6467	-0.6216	-0.5906	-0.5541	-0.5204	-0.5083	-0.5111	-0.5276	-0.5843	-0.7167	-0.8716	-0.9414	-0.8983	-0.7775	-0.5661
YOR361C	PRT1	0.3228	0.06363	-0.123	-0.2444	-0.2929	-0.2831	-0.2554	-0.2242	-0.1872	-0.1594	-0.1406	-0.122	-0.1056	-0.09747	-0.1005	-0.1117	-0.125	-0.1302	-0.1186	-0.07943	-0.0294	-0.0008368	-0.004532	-0.03298	-0.09114
YOR362C	PRE10	0.1428	0.05459	-0.0158	-0.06816	-0.1027	-0.1207	-0.124	-0.1068	-0.07358	-0.04162	-0.01308	0.01546	0.03529	0.03617	0.02057	-0.001179	-0.02058	-0.03661	-0.05017	-0.06977	-0.08929	-0.0876	-0.05778	-0.003091	0.08231
YOR365C		0.02381	0.01045	0.01878	0.04562	0.1132	0.2058	0.263	0.2417	0.1722	0.1047	0.05701	0.01661	-0.01164	-0.02778	-0.02674	0.004016	0.08826	0.1963	0.2607	0.2449	0.1831	0.114	0.0512	-0.01266	-0.07028
YOR367W	SCP1	0.3855	0.351	0.3072	0.257	0.1899	0.1144	0.06231	0.04945	0.06485	0.1001	0.1666	0.2529	0.3159	0.3298	0.3097	0.274	0.2203	0.1644	0.1518	0.2096	0.3037	0.3877	0.4473	0.4947	0.5226
YOR368W	RAD17	-0.3051	-0.1661	-0.0572	0.0196	0.05183	0.042	0.0107	-0.02732	-0.06701	-0.1024	-0.1426	-0.1804	-0.1852	-0.1392	-0.06695	-0.00134	0.03023	0.03418	0.02842	0.02878	0.02669	0.003429	-0.04542	-0.1158	-0.2136
YOR369C	RPS12	-0.3105	-0.1481	-0.06075	-0.03858	-0.1267	-0.2883	-0.3903	-0.3452	-0.2154	-0.09334	-0.02146	0.02243	0.04258	0.04763	0.04732	0.0475	0.01598	-0.02738	0.001363	0.1667	0.3868	0.5265	0.5474	0.4865	0.3218
YOR370C	MRS6	-0.07371	-0.06461	-0.02901	0.02542	0.1123	0.2115	0.2649	0.2345	0.1591	0.09542	0.07611	0.085	0.1052	0.1306	0.1589	0.1792	0.1973	0.2137	0.2099	0.168	0.1103	0.07888	0.08439	0.1115	0.1636
YOR371C		-0.1697	-0.1271	-0.08942	-0.05757	-0.03274	-0.01519	-0.00422	-0.002005	0.0007111	0.02179	0.07426	0.1362	0.1729	0.1586	0.1133	0.071	0.0386	0.01832	0.03742	0.1239	0.2407	0.3179	0.3346	0.3122	0.2432
YOR372C	NDD1	-0.6669	-0.6223	-0.529	-0.4024	-0.2208	-0.01856	0.1045	0.09697	0.01424	-0.08365	-0.1898	-0.3033	-0.3727	-0.3641	-0.3009	-0.2181	-0.128	-0.04538	-0.008043	-0.03643	-0.09474	-0.1366	-0.1487	-0.1475	-0.1318
YOR373W	NUD1	-0.743	-0.4049	-0.103	0.1485	0.3285	0.4277	0.4503	0.4064	0.3224	0.2269	0.0956	-0.05623	-0.1402	-0.09692	0.02853	0.1676	0.2976	0.4141	0.4761	0.4702	0.4297	0.3836	0.3394	0.2864	0.2264
YOR374W	ALD4	0.6466	0.8473	0.8985	0.8276	0.5783	0.2122	-0.06692	-0.1588	-0.1503	-0.1182	-0.08285	-0.02394	0.04286	0.1143	0.1865	0.2425	0.2742	0.2806	0.2555	0.1796	0.08236	0.02993	0.04284	0.1003	0.207
YOR375C	GDH1	-0.08199	0.114	0.25	0.3306	0.3461	0.31	0.2612	0.198	0.1291	0.1094	0.1734	0.2964	0.4431	0.6186	0.7968	0.8961	0.8637	0.7415	0.5893	0.4235	0.263	0.1719	0.1658	0.2161	0.3208
YOR377W	ATF1	-0.2051	-0.2646	-0.2909	-0.282	-0.2135	-0.09848	0.008692	0.08215	0.1236	0.1199	0.06283	-0.02153	-0.09455	-0.1463	-0.1781	-0.1686	-0.09126	0.01761	0.08582	0.07633	0.02567	-0.02809	-0.07377	-0.1229	-0.1715
